id,Title,Artist,Thumbnail_Url,Image_Url,Culture,Classification,Museum_Page,Museum
468700,Cross-Shaped Hanging Lamp,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/468700.jpg,https://images.metmuseum.org/CRDImages/md/original/sf65-25-1as1.jpg,roman,metalwork,http://www.metmuseum.org/art/collection/search/468700,met
192041,Plate,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/192041.jpg,https://images.metmuseum.org/CRDImages/es/original/DP207239.jpg,british,ceramics,http://www.metmuseum.org/art/collection/search/192041,met
360406,Virgin and Child,Hieronymus (Jerome) Wierix,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/360406.jpg,https://images.metmuseum.org/CRDImages/dp/original/270016.jpg,dutch,prints,http://www.metmuseum.org/art/collection/search/360406,met
559060,Umbel Pendant,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/559060.jpg,https://images.metmuseum.org/CRDImages/eg/original/11.215.426.jpg,egyptian,uncategorized,http://www.metmuseum.org/art/collection/search/559060,met
464835,Disk Brooch,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/464835.jpg,https://images.metmuseum.org/CRDImages/md/original/DP30204.jpg,ancient european,metalwork,http://www.metmuseum.org/art/collection/search/464835,met
501524,Flageolet in F,Millet,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/501524.jpg,https://images.metmuseum.org/CRDImages/mi/original/MUS306A2.JPG,french,musical instruments,http://www.metmuseum.org/art/collection/search/501524,met
82452,Suit,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/82452.jpg,https://images.metmuseum.org/CRDImages/ci/original/1990.160.2ab_F.jpg,french,uncategorized,http://www.metmuseum.org/art/collection/search/82452,met
245926,Ring,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/245926.jpg,https://images.metmuseum.org/CRDImages/gr/original/sf9515116.jpg,roman,precious,http://www.metmuseum.org/art/collection/search/245926,met
39446,,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/39446.jpg,https://images.metmuseum.org/CRDImages/as/original/19_135_5ab_44722.jpg,south asian,metalwork,http://www.metmuseum.org/art/collection/search/39446,met
646217,"Celia Ellis, from the Actors and Actresses series (N145-3) issued by Duke Sons & Co. to promote Cross Cut Cigarettes","W. Duke, Sons & Co.",https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/646217.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP839746.jpg,various,photographs,http://www.metmuseum.org/art/collection/search/646217,met
552091,String of 4 Eyed Beads,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/552091.jpg,https://images.metmuseum.org/CRDImages/eg/original/10.130.3051-3044-gc-shelf.jpg,egyptian,uncategorized,http://www.metmuseum.org/art/collection/search/552091,met
249630,Glass mosaic inlay,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/249630.jpg,https://images.metmuseum.org/CRDImages/gr/original/DP121787.jpg,egyptian,glass,http://www.metmuseum.org/art/collection/search/249630,met
228952,Pair of gloves,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/228952.jpg,https://images.metmuseum.org/CRDImages/es/original/DP151924.jpg,british,textiles,http://www.metmuseum.org/art/collection/search/228952,met
