id,Title,Artist,Thumbnail_Url,Image_Url,Culture,Classification,Museum_Page,Museum
381947,The Flagellation of Christ,Bernardo Cavallino,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/381947.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP809065.jpg,italian,drawings,http://www.metmuseum.org/art/collection/search/381947,met
26196,Halberd,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/26196.jpg,https://images.metmuseum.org/CRDImages/aa/original/14.25.161_001feb2015.jpg,italian,weapons,http://www.metmuseum.org/art/collection/search/26196,met
226023,Flounce,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/226023.jpg,https://images.metmuseum.org/CRDImages/es/original/DP5396.jpg,italian,textiles,http://www.metmuseum.org/art/collection/search/226023,met
325983,Scale plate,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/325983.jpg,https://images.metmuseum.org/CRDImages/an/original/ME69_24_26.jpg,ancient middle-eastern,metalwork,http://www.metmuseum.org/art/collection/search/325983,met
44066,,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/44066.jpg,https://images.metmuseum.org/CRDImages/as/original/12250.jpg,chinese,stone,http://www.metmuseum.org/art/collection/search/44066,met
42281,,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/42281.jpg,https://images.metmuseum.org/CRDImages/as/original/62_222_2.jpg,chinese,ceramics,http://www.metmuseum.org/art/collection/search/42281,met
37919,,,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/37919.jpg,https://images.metmuseum.org/CRDImages/as/original/DP152297.jpg,south asian,paintings,http://www.metmuseum.org/art/collection/search/37919,met
388395,Landscape with Ruins of a Castle on a Hill,Jan Smees,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/388395.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP821183.jpg,dutch,prints,http://www.metmuseum.org/art/collection/search/388395,met
418638,"Henrietta Lander, from the Actors and Actresses series (N45, Type 8) for Virginia Brights Cigarettes",Allen & Ginter,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/418638.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP831718.jpg,american,photographs,http://www.metmuseum.org/art/collection/search/418638,met
710149,"Actress wearing sailor costume, from the Actresses series (N664) promoting Old Fashion Fine Cut Tobacco",,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/710149.jpg,https://images.metmuseum.org/CRDImages/dp/original/DPB869637.jpg,various,photographs,http://www.metmuseum.org/art/collection/search/710149,met
16031,Two Seated Figures; One Sleeping Figure; Standing Man Leaning on Ship Railing (from Sketchbook),Thomas Sully,https://mmlsparkdemo.blob.core.windows.net/met/thumbnails/16031.jpg,https://images.metmuseum.org/CRDImages/ad/original/195755.jpg,american,drawings,http://www.metmuseum.org/art/collection/search/16031,met
